text,poster,views,comments,length,link
 Two goat thief stripped naked and humiliated ,Amine666world,802 Views,2 Comments,0:29,https://theworldwatch.com/videos/1619545/two-goat-thief-stripped-naked-and-humiliated/
 Streamer is Knocked Out Live.. ,sally,2.0K Views,3 Comments,0:44,https://theworldwatch.com/videos/1619544/streamer-is-knocked-out-live/
 Woman is Swept Away at Sea while with Her Partner ,sally,2.2K Views,6 Comments,1:14,https://theworldwatch.com/videos/1619543/woman-is-swept-away-at-sea-while-with-her-partner/
 Argentina: Speeding Motorcyclist is Cut in Half by Pole (See Aftermath) ,The Seer,2.4K Views,8 Comments,0:45,https://theworldwatch.com/videos/1619539/argentina-speeding-motorcyclist-is-cut-in-half-by-pole/
" Parana, Brazil: Man is Run Over by Motorcycle...then Run Over again by a Car ",Philligan,703 Views,3 Comments,1:31,https://theworldwatch.com/videos/1619542/parana-brazil-man-is-run-over-by-motorcycle-then-run-over-again-by-a-car/
" China: Husband wakes Up, Kills Wife with Machete as a Witness Enters and Leaves ",The Seer,1.2K Views,6 Comments,2:23,https://theworldwatch.com/videos/1619537/china-husband-kills-wife-with-machete-as-a-witness-enters-and-leaves/
 OMG: She's Done This Before.... U Won't Believe it. ,Karelin,7.5K Views,10 Comments,0:32,https://theworldwatch.com/videos/1619532/omg-she-s-done-this-before-u-won-t-believe-it/
 What 18 yrs of Being Married to a Liberal Demon will Do To You ,Alex_Bones,3.0K Views,9 Comments,0:17,https://theworldwatch.com/videos/1619531/what-18yrs-of-being-married-to-a-liberal-demon-will-do-to-you/
 Colombia: Employee saves Everyone from Thug Robbing his Store (Aftermath Included) ,Philligan,1.2K Views,4 Comments,1:27,https://theworldwatch.com/videos/1619536/colombia-employee-saves-everyone-from-thug-robbing-his-store-aftermath-included/
 Just a Chinaman Waving Stuck Underneath Truck ,sally,809 Views,3 Comments,0:13,https://theworldwatch.com/videos/1619535/just-a-chinaman-waving-stuck-underneath-truck/
 Woman is run over by train after returning to the tracks to get her Cell Phone; se... ,The Seer,1.4K Views,4 Comments,0:38,https://theworldwatch.com/videos/1619540/woman-is-run-over-by-train-after-returning-to-the-tracks-to-get-her-cell-phone-see-video-strong-images/
 Pakistan: Urdu..Man is Executed with IFnal Point Blank Shot from AK ,The Seer,919 Views,3 Comments,0:14,https://theworldwatch.com/videos/1619538/pakistan-urdu-man-is-executed-with-ifnal-point-blank-shot-from-ak/
 Brazil: Man is shot dead in front of bar in Boa Vista ,sally,380 Views,1 Comments,0:46,https://theworldwatch.com/videos/1619541/brazil-man-is-shot-dead-in-front-of-bar-in-boa-vista/
 A Burger and a Bullet at this McDonald's ...Drive Thru Employee Came Strapped ,Karelin,1.8K Views,3 Comments,1:44,https://theworldwatch.com/videos/1619530/a-burger-and-a-bullet-at-this-mcdonald-s-drive-thru-employee-came-strapped/
 A Different Kind of 'Gas Guzzler' ,Ultraphonics,1.1K Views,4 Comments,0:15,https://theworldwatch.com/videos/1619527/petrol-sniffa/
 SECURITY GUARD BEATS LOUD MOUTH. ,Amine666world,2.1K Views,6 Comments,0:50,https://theworldwatch.com/videos/1619533/security-guard-beat-the-shit-out-of-loud-mouth-asshole/
 Two Brazilian girls fighting in college ,Amine666world,2.0K Views,6 Comments,1:10,https://theworldwatch.com/videos/1619529/two-brazilian-girls-fighting-in-college/
 Tranny KO... Oldie but Goodie. ,Ultraphonics,1.9K Views,5 Comments,0:26,https://theworldwatch.com/videos/1619528/old-but-gold/
 Black Dude Tells Reporters Who Exactly Should Pay for Reparations to Black Americans ,Karelin,3.0K Views,18 Comments,1:00,https://theworldwatch.com/videos/1619512/black-dude-tells-reporters-who-exactly-should-pay-for-reparations-to-black-americans/
 Drunk Man tries to Go from One Building to another using Cables....How did it go? ,sally,5.5K Views,24 Comments,0:46,https://theworldwatch.com/videos/1619500/drunk-man-tries-to-go-from-one-building-to-another-using-cables-how-did-it-go/
 Amazing...Or Not? ,Philligan,4.4K Views,16 Comments,0:29,https://theworldwatch.com/videos/1619518/amazing-or-not/
 Zipline on Vacation goes Way Wrong for One Guy ,sally,5.2K Views,11 Comments,0:21,https://theworldwatch.com/videos/1619497/zipline-on-vacation-goes-way-wrong-for-one-guy/
 Carnival Girl can Dance to these Drums ,The Seer,4.6K Views,8 Comments,0:51,https://theworldwatch.com/videos/1619513/carnival-girl-can-dance-to-these-drums/
 Brazil: 3 Teenagers Accused of Killing Woman (Short Video) See News ,The Seer,5.1K Views,4 Comments,0:07,https://theworldwatch.com/videos/1619503/brazil-3-teenagers-accused-of-killing-woman-short-video-see-news/
 The Human Male's Biggest Fear: Psycho Woman Refuses To Leave Your Home After One-... ,Philligan,3.9K Views,12 Comments,17:31,https://theworldwatch.com/videos/1619524/woman-refuses-to-leave-man-s-home-after-one-night-stand/
 Business Owner in Ecuador is Killed going after Thugs with Baseball Bat ,sally,1.8K Views,0 Comments,0:53,https://theworldwatch.com/videos/1619525/business-owner-in-ecuador-is-killed-going-after-thugs-with-baseball-bat/
" ""Obama never Came to the Hood"" Detroit pastor thanks Trump for Visiting t... ",sally,1.6K Views,4 Comments,0:30,https://theworldwatch.com/videos/1619516/obama-never-came-to-the-hood-detroit-pastor-thanks-trump-for-visiting-the-hood/
" Biden Freezes at LA Fundraiser, Obama comes to the Rescue ",The Seer,3.6K Views,15 Comments,0:42,https://theworldwatch.com/videos/1619515/biden-freezes-at-la-fundraiser-obama-comes-to-the-rescue/
 2 Men 1 Stone Instant Surprise Karma…..Watch ,The Seer,4.0K Views,10 Comments,0:29,https://theworldwatch.com/videos/1619521/this-guy-gets-what-he-deserves-with-a-twist-of-surprise-watch/
 Punishing the Drug Dealer's Wife ,The Seer,25K Views,12 Comments,0:45,https://theworldwatch.com/videos/1619511/punishing-the-drug-dealer-s-wife/
 Liberal Karen Assaults 12-Year-Old boy For Carrying an American Flag ,JohnRocker,4.4K Views,21 Comments,1:16,https://theworldwatch.com/videos/1619493/liberal-karen-assaults-12-year-old-boy-for-carrying-an-american-flag/
" Bikini Barrista Gets Drink Thrown at Her, She Retaliates with Hammer. ",Karelin,5.1K Views,11 Comments,1:03,https://theworldwatch.com/videos/1619494/bikini-barrista-gets-drink-thrown-at-her-she-retaliates-with-hammer/
 Brazil: Motorcyclist comin at Ya..Nearly Kills Innocent Woman on Side of Road ,Philligan,1.6K Views,3 Comments,0:18,https://theworldwatch.com/videos/1619504/brazil-motorcyclist-comin-at-ya-nearly-kills-innocent-woman-on-side-of-road/
 Worker dies Crushed by Refrigerator that falls on Him ,sally,2.2K Views,5 Comments,0:46,https://theworldwatch.com/videos/1619498/worker-dies-crushed-by-refrigerator-that-falls-on-him/
 Turkey: Shocking Image of the Armed Attack That Killed 2 People ,sally,2.5K Views,1 Comments,0:30,https://theworldwatch.com/videos/1619502/turkey-shocking-image-of-the-armed-attack-that-killed-2-people/
" Samara, Russia. Horrific Bus Fire Kills 10..Multiple Recordings ",Philligan,2.3K Views,10 Comments,2:57,https://theworldwatch.com/videos/1619505/samara-russia-horrific-bus-fire-kills-10-multiple-recordings/
 Mom and 2 Daughters on the same Bike....6/17/2024 ,sally,1.4K Views,2 Comments,0:46,https://theworldwatch.com/videos/1619520/mom-and-2-daughters-on-the-same-bike-6-17-2024/
 BackBending CONTORTION Catsuit ,HMG87,2.2K Views,7 Comments,1:57,https://theworldwatch.com/videos/1619523/backbending-contortion-catsuit/
 Mom watches as Dad Beats the heck out of his Son after School ,HMG87,3.2K Views,10 Comments,4:09,https://theworldwatch.com/videos/1619517/mom-watches-as-dad-beats-the-heck-out-of-his-son-after-school/
 Don't let your Kid get that Close to a Camel ,sally,2.9K Views,4 Comments,0:07,https://theworldwatch.com/videos/1619510/don-t-let-your-kid-get-that-close-to-a-camel/
" Sc Called ""Friend"" Records as man tries to Hang Himself with his Family Home ",Philligan,2.1K Views,3 Comments,0:39,https://theworldwatch.com/videos/1619508/sc-called-friend-records-as-man-tries-to-hang-himself-with-his-family-home/
" Gangster says ""Here, Hold my Glock"" ",Philligan,2.9K Views,6 Comments,0:30,https://theworldwatch.com/videos/1619519/gangster-says-here-hold-my-glock/
 Brazil: Man Killed his Girl Brutally...See News Strong images ,The Seer,3.6K Views,4 Comments,0:49,https://theworldwatch.com/videos/1619501/brazil-man-killed-his-girl-brutally/
 Coolest Most Dangerous Job...Especially for the Little Piggies ,The Seer,3.0K Views,8 Comments,1:29,https://theworldwatch.com/videos/1619496/coolest-most-dangerous-job-especially-for-the-little-piggies/
 Gamer Chicks... ,sally,4.8K Views,6 Comments,2:20,https://theworldwatch.com/videos/1619514/gamer-chicks/
 FINAL DESTINATION: Man is Ejected from his Car and thrown into Power Generator ,The Seer,2.4K Views,6 Comments,0:06,https://theworldwatch.com/videos/1619499/final-destination-man-is-ejected-from-his-car-and-thrown-into-power-generator/
 Short Video of Russian Woman being Stripped by Thugs ,The Seer,61K Views,21 Comments,0:20,https://theworldwatch.com/videos/1619507/short-video-of-russian-woman-being-stripped-by-thugs/
" Social Media Influencer ""Sneako"" Gets His Teeth Knocked out by Security Gu... ",Karelin,3.5K Views,6 Comments,0:57,https://theworldwatch.com/videos/1619495/social-media-influencer-sneako-gets-his-teeth-knocked-out-by-security-guard-at-club/
 I Think This Relationship Can be Classified as Toxic ,Karelin,2.6K Views,6 Comments,0:23,https://theworldwatch.com/videos/1619492/i-think-this-relationship-can-be-classified-as-toxic/
 Woman Kills her Own Mother With Her Car and Then Hits Cop with it.... ,Karelin,2.9K Views,4 Comments,0:18,https://theworldwatch.com/videos/1619491/woman-kills-her-own-mother-with-her-car-and-then-hits-cop-with-it/
 2 Pitbulls Mauling a Intruder to Death as People throw Stones at Dogs ,The Seer,4.8K Views,13 Comments,0:30,https://theworldwatch.com/videos/1619490/2-pitbulls-mauling-and-intruder-to-death-as-people-throw-stones-at-dogs/
" Russian security forces storm prison, kill Islamic State hostage takers ",Philligan,8.7K Views,15 Comments,0:31,https://theworldwatch.com/videos/1619481/russian-security-forces-storm-prison-kill-islamic-state-hostage-takers/
 Instant Karma: Jet ski Kid does Drive-By then gets Instant Karma ,sally,9.8K Views,8 Comments,0:29,https://theworldwatch.com/videos/1619482/instant-karma-jet-ski-kid-does-drive-by-then-gets-instant-karma/
 Woman in Russia Jumps to her Death. Explodes on Impact (Watch Aftermath) ,The Seer,6.9K Views,11 Comments,0:58,https://theworldwatch.com/videos/1619486/woman-in-russia-jumps-to-her-death-explodes-on-impact-watch-aftermath/
 Exercise for Woman's Vag*na Muscles? Someone explain this to me ,The Seer,3.9K Views,8 Comments,0:24,https://theworldwatch.com/videos/1619483/exercise-for-woman-s-vag-na-muscles-someone-explain-this-to-me/
 She let's a Stranger Record Her Naked on the Beach ,The Seer,11K Views,17 Comments,0:22,https://theworldwatch.com/videos/1619487/she-let-s-a-stranger-record-her-naked-on-the-beach/
 She is HOT and 2 Feet Taller but that Doesn't Stop this Guy ,sally,5.1K Views,14 Comments,0:46,https://theworldwatch.com/videos/1619489/she-is-3-feet-taller-butthat-doesn-t-stop-this-guy/
 A Woman that CANNOT Handle her Alcohol ,The Seer,4.7K Views,8 Comments,0:39,https://theworldwatch.com/videos/1619484/a-woman-that-cannot-handle-her-alcohol/
 The news ,Swerty,4.1K Views,7 Comments,0:46,https://theworldwatch.com/videos/1619479/the-news/
" More Mistakes, More Death...Motorcyclist Killed on Shoulder of Highway (Blind Spot) ",The Seer,2.3K Views,4 Comments,0:25,https://theworldwatch.com/videos/1619468/more-mistakes-more-death-motorcyclist-killed-on-shoulder-of-highway-blind-spot/
" Crazy: Vietnam, Tongue of Fire Hits Girl as Dad Sprays Oil on Dinner ",The Seer,6.9K Views,15 Comments,0:10,https://theworldwatch.com/videos/1619457/crazy-vietnam-tongue-of-fire-hits-girl-as-dad-sprays-oil-on-dinner/
 Thailand: Foreman Slips Fatally Hitting His Head Falling into Waste Water (2 Came... ,sally,8.8K Views,8 Comments,0:52,https://theworldwatch.com/videos/1619455/thailand-foreman-slips-fatally-hitting-his-head-falling-into-waste-water/
 Bungling Criminals Attempt to Steal Propane...Turns into a Comedy. (Watch both Ca... ,Philligan,5.2K Views,8 Comments,4:01,https://theworldwatch.com/videos/1619454/bungling-criminals-attempt-to-steal-propane-turns-into-a-comedy-watch-both-camera-angles/
 Mexico: 27 Year Old Woman was Beheaded and Scalped...Video is Graphic ,The Seer,29K Views,9 Comments,0:44,https://theworldwatch.com/videos/1619456/mexico-27-year-old-woman-was-beheaded-and-scalped-video-is-graphic/
 Myanmar: Man is surprised with Death Blows as Civil War Continues in this Region ,HMG87,5.2K Views,17 Comments,1:11,https://theworldwatch.com/videos/1619458/myanmar-man-is-surprised-with-death-blows-as-civil-war-continues-in-this-region/
 (Right Side of Screen) Man is Stabbed over the Counter and Bleeds Out . He didn'... ,sally,4.9K Views,5 Comments,3:06,https://theworldwatch.com/videos/1619453/right-side-of-screen-man-is-stabbed-over-the-counter-and-bleeds-out-he-didn-t-care-about-bleeding-to-death/
 Woman with Bare Big Butt Punished with Painful Spanking ,The Seer,8.6K Views,11 Comments,0:33,https://theworldwatch.com/videos/1619463/woman-with-bare-big-butt-punished-with-painful-spanking/
" Oxnard Police Fire Beanbag round, Taser at wanted Man before Shooting Him...Brutal... ",Philligan,2.8K Views,12 Comments,2:24,https://theworldwatch.com/videos/1619466/oxnard-police-fire-beanbag-round-taser-at-wanted-man-before-shooting-him-brutal-bodycams-of-event/
 Wife catches Husband Naked in Bed with Fat Girl and goes Nuts ,sally,6.1K Views,15 Comments,0:27,https://theworldwatch.com/videos/1619462/wife-catches-husband-naked-in-bed-with-fat-girl-and-goes-nuts/
 Bride is Mistreated by Groom...Brothers of the Bride don't Like It ,sally,6.4K Views,10 Comments,0:23,https://theworldwatch.com/videos/1619464/bride-is-mistreated-by-groom-brothers-of-the-bride-don-t-like-it/
 In a Favela in Brazil...Dead Man hangs like a Pair of Sneakers (Stealing Copper) ,The Seer,1.2K Views,2 Comments,0:45,https://theworldwatch.com/videos/1619465/in-a-favela-in-brazil-dead-man-hangs-like-a-pair-of-sneakers-stealing-copper/
 Full Unedited: Girl Accused of Killing Taxi Driver is Beaten and Set on Fire in G... ,The Seer,10K Views,15 Comments,4:39,https://theworldwatch.com/videos/1619478/full-unedited-girl-accused-of-killing-taxi-driver-is-beaten-and-set-on-fire-in-guatemala/
 WHOA: 30 People Get Trapped Upside Down on an Amusement Park Ride in Portland ,Karelin,39K Views,11 Comments,0:51,https://theworldwatch.com/videos/1619452/whoa-30-people-get-trapped-upside-down-on-an-amusement-park-ride-in-portland/
 The PROPER Technique for a Close Grip Bench Press of your Girlfriend ,HMG87,2.9K Views,6 Comments,0:26,https://theworldwatch.com/videos/1619472/the-proper-technique-for-a-close-grip-bench-press/
 Moscow: Man loading Van in Street is Killed Violently ,Philligan,2.8K Views,3 Comments,0:29,https://theworldwatch.com/videos/1619460/moscow-man-loading-van-in-street-is-killed-violently/
 FREAKY Redhead in Aisle 3. She is having so much Fun in this Supermarket ,The Seer,21K Views,20 Comments,1:00,https://theworldwatch.com/videos/1619475/freaky-redhead-in-aisle-3-she-is-having-so-much-fun-in-this-supermarket/
 Just Big for nothing ,Amine666world,5.8K Views,15 Comments,0:48,https://theworldwatch.com/videos/1619447/just-big-for-nothing/
 Girl so High she can't even pull up Her Pants ,The Seer,7.6K Views,7 Comments,0:35,https://theworldwatch.com/videos/1619471/girl-so-high-she-can-t-even-pull-up-her-pants/
 Oblivious Woman High as a Kite from Sucking Aerosol Cans after Accident ,The Seer,4.3K Views,11 Comments,0:39,https://theworldwatch.com/videos/1619470/oblivious-woman-high-as-a-kite-from-sucking-aerosol-cans-after-accident/
 Shock Saturday: Mom pushing Baby Stroller has her Life Ruined by Stranger. Stron... ,sally,3.5K Views,7 Comments,0:51,https://theworldwatch.com/videos/1619477/shock-saturday-mom-pushing-baby-stroller-has-her-life-ruined-by-stranger-strong-images/
 Super Hero Customer Hops the Counter to Deliver Right Hand to Robber ,The Seer,4.4K Views,7 Comments,0:37,https://theworldwatch.com/videos/1619469/super-hero-customer-hops-the-counter-to-deliver-right-hand-to-robber/
 Uncivilized Animals Attack Ride Technician at an Amusement Park ,Karelin,3.7K Views,11 Comments,3:34,https://theworldwatch.com/videos/1619450/uncivilized-animals-attack-ride-technician-at-an-amusement-park/
 New Mexico Police Officer Fired for Murdering Unarmed Woman who Drove Away ,The Seer,3.2K Views,18 Comments,1:15,https://theworldwatch.com/videos/1619476/new-mexico-police-officer-fired-for-murdering-unarmed-woman-who-drove-away/
 Man becomes Death Ornament for City in Colombia ,Philligan,1.8K Views,3 Comments,0:55,https://theworldwatch.com/videos/1619459/man-becomes-death-ornament-for-city-in-colombia/
 Does Anyone want to Help Her on How to Use this Machine? ,sally,3.9K Views,6 Comments,0:09,https://theworldwatch.com/videos/1619473/does-anyone-want-to-help-her-on-how-to-use-this-machine/
 Happy Saturday TWW! Have a Wonderful Weekend...She Will ,The Seer,2.9K Views,3 Comments,0:11,https://theworldwatch.com/videos/1619461/happy-saturday-tww-have-a-wonderful-weekend-she-will/
 Inmate Stabs Corrections officer with Jail Made Shank ,Karelin,3.9K Views,3 Comments,0:18,https://theworldwatch.com/videos/1619449/inmate-stabs-corrections-officer-with-jail-made-shank/
 Their Autistic Son Got a Survey About Sex and Trans Nonsense...They Didn't Like That. ,Karelin,2.6K Views,6 Comments,5:33,https://theworldwatch.com/videos/1619451/their-autistic-son-got-a-survey-about-sex-and-trans-nonsense-they-didn-t-like-that/
 DAMN: Suicidal Deer Jumps Head First Through a Bus. ,Karelin,1.8K Views,3 Comments,0:12,https://theworldwatch.com/videos/1619413/damn-suicidal-deer-jumps-head-first-through-a-bus/
 Man Runs over Elderly Man..gets Out of the Car and moves the Body ,HMG87,2.2K Views,4 Comments,0:59,https://theworldwatch.com/videos/1619431/man-runs-over-elderly-man-gets-out-of-the-car-and-moves-the-body/
" Attack of a Woman in India, apparently intentional. ",Philligan,2.1K Views,2 Comments,0:38,https://theworldwatch.com/videos/1619437/attack-of-a-woman-in-india-apparently-intentional/
 Nashville Cop Arrested After Starring in an OnlyFans Video in Uniform While on Duty ,Karelin,5.7K Views,8 Comments,1:00,https://theworldwatch.com/videos/1619412/nashville-cop-arrested-after-starring-in-an-onlyfans-video-in-uniform-while-on-duty/
 WOW: Employee with NO Hesitation Shoots Thug tryingto Rob Store ,sally,13K Views,36 Comments,0:53,https://theworldwatch.com/videos/1619424/wow-employee-with-no-hesitation-shoots-thug-tryingto-rob-store/
 G-String Wearing Blonde Humps Sunroof with a BABY in the Car ,HMG87,2.9K Views,18 Comments,0:16,https://theworldwatch.com/videos/1619438/g-string-wearing-blonde-humps-sunroof-with-a-baby-in-the-car/
 Blagoveshchensk Russia. Minivan Drunk Driver Runs over Entire Crowd Killing Many ... ,The Seer,3.6K Views,8 Comments,1:29,https://theworldwatch.com/videos/1619434/blagoveshchensk-russia-minivan-drunk-driver-runs-over-entire-crown-killing-many-see-aftermath/
 Colombia: Elderly Man Shoots Himself with .38 Revolver ,The Seer,2.6K Views,6 Comments,1:10,https://theworldwatch.com/videos/1619432/colombia-elderly-man-shoots-himself-with-38-revolver/
 Mumbai Resident's Horror after discovering a Human Finger in her Cone of Ice Cream ,The Seer,2.9K Views,6 Comments,0:09,https://theworldwatch.com/videos/1619430/mumbai-resident-s-horror-after-discovering-a-human-finger-in-her-cone-of-ice-cream/
 Plainclothes Police Officer defended Herself with Gunfire against an Attempted Rob... ,sally,4.5K Views,6 Comments,0:46,https://theworldwatch.com/videos/1619423/plainclothes-police-officer-defended-herself-with-gunfire-against-an-attempted-robbery/
 A talking cat ,Swerty,8.9K Views,25 Comments,0:07,https://theworldwatch.com/videos/1619444/a-talking-cat/
 Fireworks...2 Indians Blown Off their Motorcycle and a Woman Killed by Firework in... ,The Seer,2.5K Views,7 Comments,0:32,https://theworldwatch.com/videos/1619446/fireworks-2-indians-blown-off-their-motorcycle-and-a-woman-hit-by-firework-in-front-of-her-kids/
 Woman Run Over by Truck in Horrific Way more than Once ,The Seer,2.2K Views,2 Comments,0:22,https://theworldwatch.com/videos/1619422/woman-run-over-by-truck-in-horrific-way-more-than-once/
 Crazy Boyfriend Beats the Heck out of Man who took his Girlfriends Beer ,Philligan,4.1K Views,7 Comments,0:32,https://theworldwatch.com/videos/1619421/crazy-boyfriend-beats-the-heck-out-of-man-who-took-his-girlfriends-beer/
 Tik-Tok Guy Films his Friend's End of Life (Extended) ,sally,6.2K Views,8 Comments,0:30,https://theworldwatch.com/videos/1619443/tik-tok-guy-films-his-friend-s-end-of-life-extended/
 Moment when Amusement Park Ride goes Off the Rails..sending One Man in the Air ,The Seer,4.4K Views,8 Comments,0:23,https://theworldwatch.com/videos/1619420/moment-when-amusement-park-ride-goes-off-the-rails-sending-one-man-in-the-air/
