text,poster,views,comments,length,link
 Seizing the opportunities...this is Funny ,The Seer,5.7K Views,9 Comments,0:27,https://theworldwatch.com/videos/1619440/seizing-the-opportunities-this-is-funny/
 Murder of Man by Knife after taking Sip of Beer. Shocking Murder ,The Seer,4.9K Views,3 Comments,3:18,https://theworldwatch.com/videos/1619426/murder-of-man-by-knife-after-taking-sip-of-beer-shocking-murder/
 Surprise! This Woman kind of Shocked Me Once She Pulls Them Out...Compilation of ... ,HMG87,7.4K Views,15 Comments,1:00,https://theworldwatch.com/videos/1619442/surprise-this-woman-kind-of-shocked-me-once-she-pulls-them-out-compilation-of-same-girl/
 Armed Felon Shot in a Vehicle After Refusing to Comply With Officer Commands ,sally,2.5K Views,8 Comments,1:30,https://theworldwatch.com/videos/1619419/armed-felon-shot-in-a-vehicle-after-refusing-to-comply-with-officer-commands/
 2 Russian Girls are Killed by Car...Watch Close ,The Seer,3.2K Views,7 Comments,0:36,https://theworldwatch.com/videos/1619445/2-russian-girls-are-killed-by-car-watch-close/
 Giantess Destroys Girl in Bikini in Girls Boxing for Fun ,The Seer,7.5K Views,7 Comments,0:17,https://theworldwatch.com/videos/1619433/giantess-destroys-girl-in-bikini-in-girls-boxing-for-fun/
 Hero Lone Cop vs 7-member gang fleeing Heist ,sally,3.7K Views,2 Comments,0:59,https://theworldwatch.com/videos/1619418/hero-lone-cop-vs-7-member-gang-fleeing-heist/
" Dead Woman found in the Sand in São Luís, Brazil ",sally,1.8K Views,3 Comments,0:37,https://theworldwatch.com/videos/1619429/dead-woman-found-in-the-sand-in-sao-luis-brazil/
 Two men in Liaoning railway station struck by lightning ,sally,1.8K Views,1 Comments,0:22,https://theworldwatch.com/videos/1619417/two-men-in-liaoning-railway-station-struck-by-lightning/
 Happy Friday TWW...Find a Girl this Weekend who Dances Like This ,The Seer,4.1K Views,7 Comments,0:22,https://theworldwatch.com/videos/1619441/happy-friday-tww-find-a-girl-this-weekend-who-dances-like-this/
" Heavy Set Woman Jumps from Window, Splits Her Head Open ",The Seer,3.4K Views,8 Comments,0:43,https://theworldwatch.com/videos/1619435/woman-jumps-from-window-see-how-she-lands/
 Mexico: Crazy Murder of Ex-Lover by Female and Friends (See Description) ,Philligan,2.7K Views,1 Comments,2:46,https://theworldwatch.com/videos/1619425/mexico-crazy-murder-of-ex-lover-by-female-and-friends-see-description/
 Brazil: Drowned Woman is Found by Fisherman in Brazil ,The Seer,943 Views,0 Comments,0:45,https://theworldwatch.com/videos/1619427/brazil-drowned-woman-is-found-by-fisherman-in-brazil/
" Andrew Tate Burns $110,597,600 of His Crypto Currency Supply ""Daddy"" ",Karelin,3.8K Views,15 Comments,1:21,https://theworldwatch.com/videos/1619416/andrew-tate-burns-110-597-600-of-his-crypto-currency-supply-daddy/
 White Woman having Sex with a Ghost? Que the X-Files ,HMG87,4.7K Views,8 Comments,0:31,https://theworldwatch.com/videos/1619439/white-woman-having-sex-with-a-ghost-que-the-x-files/
 Watch the Kid in the Striped Shirt...Drive By Happens Fast ,sally,1.5K Views,2 Comments,1:56,https://theworldwatch.com/videos/1619428/watch-the-kid-in-the-striped-shirt-drive-by-happens-fast/
 Italians Don't Play.... Wild Fist Fight Breaks Out on Parliament Floor ,Karelin,2.0K Views,7 Comments,0:27,https://theworldwatch.com/videos/1619415/italians-don-t-play-wild-fist-fight-breaks-out-on-parliament-floor/
 Old Man using Cane figures Why Not.. ,sally,1.8K Views,1 Comments,0:14,https://theworldwatch.com/videos/1619436/old-man-using-cane-figures-why-not/
 Candace Owens Goes off on Piers Morgan over Israel and The Genocide of Christians. ,JohnRocker,2.2K Views,12 Comments,2:25,https://theworldwatch.com/videos/1619414/candace-owens-goes-off-on-piers-morgan-over-israel-and-the-mainstream-complicate-genocide-of-christians/
 Based Chick Drops the Truth about Women in 2024 ,JohnRocker,5.9K Views,13 Comments,0:40,https://theworldwatch.com/videos/1619382/based-chick-drops-the-truth-about-women-in-2024/
 Stephen Baldwins Daughter is a Wild Bishhhhh ,JohnRocker,4.8K Views,9 Comments,1:16,https://theworldwatch.com/videos/1619381/stephen-baldwins-daughter-is-a-wild-bishhhhh/
 A close encounter with China's sewer-oil trade ,Swerty,3.7K Views,9 Comments,0:24,https://theworldwatch.com/videos/1619411/a-close-encounter-with-china-s-sewer-oil-trade/
 Trump 2024! That's a Hard Yes for Me. ,Karelin,4.5K Views,18 Comments,0:11,https://theworldwatch.com/videos/1619410/trump-2024-that-s-a-hard-yes-for-me/
 Girl falls into the Ring of Death Quickly Killing Her ,The Seer,6.3K Views,6 Comments,0:30,https://theworldwatch.com/videos/1619408/girl-falls-into-the-ring-of-death-quickly-killing-her/
 Drug Addict does the Impossible. Escaping Barbed Wire Facility only to Belly Flop ,HMG87,3.6K Views,7 Comments,0:21,https://theworldwatch.com/videos/1619407/drug-addict-does-the-impossible-escaping-barbed-wire-facility-only-to-belly-flop/
 Watch What happens when this Donkey wants a Selfie with a Train ,The Seer,5.1K Views,12 Comments,0:12,https://theworldwatch.com/videos/1619402/watch-what-happens-when-this-donkey-wants-a-selfie-with-a-train/
 Stay Alert while Cycling..this Lady will Tell You... ,HMG87,6.0K Views,8 Comments,0:30,https://theworldwatch.com/videos/1619401/stay-alert-while-cycling-this-lady-will-tell-you/
 Man with Horse is Killed by Thrown Bottle...Crazy ,Philligan,5.0K Views,8 Comments,0:25,https://theworldwatch.com/videos/1619399/man-with-horse-is-killed-by-flying-bottle-crazy/
 Psycho Naked Man Gushes Blood as he Slits his Throat with a Sword ,The Seer,3.8K Views,12 Comments,1:12,https://theworldwatch.com/videos/1619406/psycho-naked-man-gushes-blood-as-he-slits-his-throat-with-a-sword/
 The Man picks up a Stun Grenade and Loses his Hand ,sally,7.0K Views,6 Comments,0:08,https://theworldwatch.com/videos/1619394/the-man-picks-up-a-stun-grenade-and-loses-his-hand/
 Live Suicide of Bullion Dealer who gets the Guts to Finally End his Life (Strong I... ,The Seer,4.2K Views,8 Comments,3:04,https://theworldwatch.com/videos/1619392/live-suicide-of-bullion-dealer-who-gets-the-guts-to-finally-end-his-life-strong-images/
 Watch the Blonde in the Purple Backpack...Killed by Falling Rock (Aftermath) ,Karelin,5.3K Views,7 Comments,1:10,https://theworldwatch.com/videos/1619383/shocking-moment-a-rockfall-kills-a-female-tourist/
 Girl out for a Cigarette on the Ledge loses Her Life ,The Seer,5.1K Views,11 Comments,0:15,https://theworldwatch.com/videos/1619400/girl-out-for-a-cigarette-on-the-ledge-loses-her-life/
 Wait a Minute? Beautiful Blonde Wrestling a Man? Boy I bet he's really Hurtin ,sally,5.7K Views,7 Comments,1:00,https://theworldwatch.com/videos/1619395/wait-a-minute-beautiful-blonde-wrestling-a-man-boy-i-bet-he-s-really-hurtin/
 I didn't Believe in Love at First Site Until.... ,sally,5.2K Views,8 Comments,0:15,https://theworldwatch.com/videos/1619403/i-didn-t-believe-in-love-at-first-site-until/
 Convict JUST Released from Prison is Killed ,The Seer,3.3K Views,5 Comments,0:30,https://theworldwatch.com/videos/1619389/convict-just-released-from-prison-is-killed/
 Moron Tries Lighting his Ex's House on Fire...Ends Up Igniting Himself.. ,Karelin,2.8K Views,6 Comments,0:35,https://theworldwatch.com/videos/1619377/moron-tries-lighting-his-ex-s-house-on-fire-ends-up-igniting-himself/
 Moment Motorcycle Explodes outside Gym in Colombia ,sally,2.5K Views,2 Comments,0:26,https://theworldwatch.com/videos/1619388/moment-motorcycle-explodes-outside-gym-in-colombia/
 Baltimore Police Forced to Kill Gangster from 3 Feet Away ,Philligan,3.9K Views,10 Comments,0:55,https://theworldwatch.com/videos/1619387/baltimore-police-forced-to-kill-gangster-from-3-feet-away/
 Big Man Beats Guy like Spider from Goodfellas for 3 solid Minutes (See News) ,sally,4.5K Views,5 Comments,3:32,https://theworldwatch.com/videos/1619390/big-man-beats-guy-like-spider-from-goodfellas-for-3-solid-minutes-see-news/
 Large Stone Flying from the Truck in Front of Motorcyclist Ruins his Day ,HMG87,3.1K Views,1 Comments,0:17,https://theworldwatch.com/videos/1619393/large-stone-flying-from-the-truck-in-front-of-motorcyclist-ruins-his-day/
 Texas Man Dies in Jacuzzi at Mexican Resort and his Wife are Electrocuted.. ,The Seer,56K Views,18 Comments,0:39,https://theworldwatch.com/videos/1619396/texas-man-dies-in-jacuzzi-at-mexican-resort-and-his-wife-are-electrocuted/
 Ladies..Would you Wear this Dress with Her Condition? ,sally,4.2K Views,7 Comments,0:08,https://theworldwatch.com/videos/1619404/ladies-would-you-wear-this-dress-with-her-condition/
 Catching a FPV drone ,Sunarefa,2.8K Views,3 Comments,0:44,https://theworldwatch.com/videos/1619386/catching-a-fpv-drone/
 Top Wedgie over the Head Technique ,sally,2.5K Views,2 Comments,0:06,https://theworldwatch.com/videos/1619398/top-wedgie-over-the-head-technique/
 Clearing positions from rus occupiers ,Sunarefa,2.3K Views,7 Comments,2:37,https://theworldwatch.com/videos/1619385/clearing-positions-from-rus-occupiers/
 Father Breaks Down Door Where School is Holding a Tranny Stirp Show for Children. ,Karelin,13K Views,31 Comments,2:16,https://theworldwatch.com/videos/1619384/father-breaks-down-door-where-school-is-holding-a-tranny-stirp-show-for-children/
" Your Girl is Back, This Time Lighting up Gay Dudes. ",Karelin,6.2K Views,49 Comments,0:52,https://theworldwatch.com/videos/1619380/your-girl-is-back-this-time-lighting-up-gay-dudes/
 Fat Girl Brings Knife to NYC Club... Turns out She Needed it to Stab Rival to Death. ,Karelin,4.3K Views,8 Comments,0:24,https://theworldwatch.com/videos/1619379/fat-girl-brings-knife-to-nyc-club-turns-out-she-needed-it-to-stab-rival-to-death/
 Kids in NY Now Getting Robbed by Adults for Their Lunch Money... WTF ,Karelin,2.5K Views,10 Comments,0:26,https://theworldwatch.com/videos/1619378/kids-in-ny-now-getting-robbed-by-adults-for-their-lunch-money-wtf/
 A Drone Watching Goats Records a Girl's Fatal Fall on Rock Ledge ,The Seer,11K Views,18 Comments,0:30,https://theworldwatch.com/videos/1619376/a-drone-watching-goats-records-a-girl-s-fatal-fall-on-rock-ledge/
 Taxi Driver in Peru is Shot to Death over 20 Times (Blue & Yellow Taxi) ,HMG87,1.8K Views,5 Comments,0:30,https://theworldwatch.com/videos/1619375/taxi-driver-in-peru-is-shot-to-death-over-20-times-blue-yellow-taxi/
 Suicide by Cop Please: Walk into Elevator with 3 Cops Armed with a Knife AFTER yo... ,The Seer,5.8K Views,8 Comments,0:20,https://theworldwatch.com/videos/1619367/this-is-how-you-do-a-proper-suicide-by-cop-walks-into-elevator-full-of-cops-with-a-knife/
 22 Year Old Happy Girl got to Record her Final Ride ,sally,63K Views,27 Comments,0:43,https://theworldwatch.com/videos/1619365/22-year-old-happy-girl-got-to-record-her-final-ride/
 Man Risks his Life to Save Suicide...to No Avail. He Falls a Loooooong Way ,HMG87,5.1K Views,9 Comments,0:10,https://theworldwatch.com/videos/1619363/man-risks-his-life-to-save-suicide-to-no-avail-he-falls-a-loooooong-way/
 Watch President Biden's hands here... ,Philligan,7.8K Views,43 Comments,0:24,https://theworldwatch.com/videos/1619361/watch-president-biden-s-hands-here/
 Colombia: Hitman Point Blank to the Head caught on 2 Different Angles Up Close ,The Seer,3.8K Views,13 Comments,0:35,https://theworldwatch.com/videos/1619352/colombia-hitman-point-blank-to-the-head-caught-on-2-different-angles-up-close/
 Thousands of Sharks Descend Near Beaches in Destin Florida.. What's Scaring the Sh... ,Alex_Bones,5.8K Views,20 Comments,0:55,https://theworldwatch.com/videos/1619311/thousands-of-sharks-descend-near-beaches-in-destin-florida-what-s-scaring-the-sharks/
 Same Lies Recycled ... Remember When Florida was Going to Be Underwater? ,Alex_Bones,3.6K Views,25 Comments,1:04,https://theworldwatch.com/videos/1619310/same-lies-recycled-remember-when-florida-was-going-to-be-underwater/
 DEBATE TIME: Video of Father Disciplining his Two Boys that Got Caught Stealing is... ,Karelin,7.6K Views,22 Comments,0:15,https://theworldwatch.com/videos/1619350/debate-time-video-of-father-disciplining-his-two-boys-that-got-caught-stealing-is-going-viral-proper-discipline-or-overboard/
 Councilman in Tulancingo City Council of Mexico shows up at his Office for the Las... ,The Seer,3.4K Views,8 Comments,0:54,https://theworldwatch.com/videos/1619349/councilman-in-tulancingo-city-council-of-mexico-shows-up-at-his-office-for-the-last-time/
 Fogo de Chão Brazilian Steakhouse turns into a Saloon as Police Murder Man at the ... ,sally,3.3K Views,14 Comments,2:30,https://theworldwatch.com/videos/1619348/fogo-de-chao-brazilian-steakhouse-turns-into-a-saloon-as-police-murder-man-at-the-bar-lawsuit-filed/
" Chick is Back Blowing up the Lefts Minds, This Time over the ""N"" Word (w/&... ",Karelin,5.7K Views,37 Comments,0:54,https://theworldwatch.com/videos/1619346/chick-is-back-blowing-up-the-lefts-minds-this-time-over-the-n-word-w-apology-lol-video/
 Asian Horny Girl leaves a Mess in Shoe Store as Man Watches All of It ,sally,9.4K Views,14 Comments,0:35,https://theworldwatch.com/videos/1619372/asian-horny-girl-leaves-a-mess-in-shoe-store-as-man-watches-all-of-it/
 Mechanic loses his Life when Driver hits Gas instead of Brakes ,sally,2.7K Views,6 Comments,1:23,https://theworldwatch.com/videos/1619368/mechanic-loses-his-life-when-driver-hits-gas-instead-of-brakes/
 Did they Have to Blow his Head Off? Literally ,The Seer,6.6K Views,8 Comments,0:32,https://theworldwatch.com/videos/1619369/by-the-end-of-the-video-this-kid-will-have-his-head-blown-off/
 2 Blood Thirsty Pitbull's maul Black Man to Near Death as People thrown Stones at ... ,sally,5.9K Views,19 Comments,1:06,https://theworldwatch.com/videos/1619351/2-blood-thirsty-pitbull-s-maul-black-man-to-near-death-as-people-thrown-stones-at-dogs/
 Animal Rights Group Vandalizes the Now Famous New Portrait of King Charles ,sally,1.8K Views,9 Comments,0:21,https://theworldwatch.com/videos/1619354/animal-rights-group-vandalizes-the-now-famous-new-portrait-of-king-charles/
 Bathroom Karen in Buffalo is Causing Debate... Was She Wrong? ,Karelin,4.1K Views,17 Comments,0:57,https://theworldwatch.com/videos/1619347/bathroom-karen-in-buffalo-is-causing-debate-was-she-wrong/
 Wath the Girl Messing Around...She Finds Out ,HMG87,3.9K Views,5 Comments,0:30,https://theworldwatch.com/videos/1619356/wath-the-girl-messing-around-she-finds-out/
 These 2 gave up on Real Penis....This is the Best they're Gonna Get Tonight ,The Seer,53K Views,16 Comments,0:13,https://theworldwatch.com/videos/1619373/these-2-gave-up-on-real-penis-this-is-the-best-they-re-gonna-get-tonight/
" The Terror: When you Realize you CAN""T get back on the Roof.... ",Philligan,77K Views,32 Comments,0:51,https://theworldwatch.com/videos/1619366/the-terror-when-you-realize-you-can-t-get-back-on-the-roof/
 A Moment of Silence for this Cameraman ,sally,6.2K Views,6 Comments,0:25,https://theworldwatch.com/videos/1619371/a-moment-of-silence-for-this-cameraman/
 Teen Girl wearing Jersey Ends her Life in School Hallway from a Desk ,sally,3.3K Views,2 Comments,0:32,https://theworldwatch.com/videos/1619370/teen-girl-wearing-jersey-ends-her-life-in-school-hallway-from-a-desk/
 Joe Rogan Believes There's a Secret Cabal Running America... ,Alex_Bones,3.0K Views,8 Comments,1:41,https://theworldwatch.com/videos/1619345/joe-rogan-believes-there-s-a-secret-cabal-running-america/
 Motorcyclist's Death Recorded Monday in Thailand by T-Bone ,Philligan,1.7K Views,1 Comments,0:40,https://theworldwatch.com/videos/1619374/motorcyclist-s-death-recorded-monday-in-thailand-by-t-bone/
" This Kid.....Come on Bud, there's People Starving and being Slaughtered. Enjoy ... ",Philligan,4.6K Views,11 Comments,0:08,https://theworldwatch.com/videos/1619364/this-kid-come-on-bud-there-s-people-starving-and-being-slaughtered-enjoy-the-suck/
 Gianna needs No Intro ,sally,8.7K Views,10 Comments,0:30,https://theworldwatch.com/videos/1619359/wait-until-she-gets-out-of-the-pool-who-know-s-gianna/
 She's a Cheater..Don't Trust Her you'll See ,sally,53K Views,15 Comments,0:16,https://theworldwatch.com/videos/1619358/she-s-a-cheater-don-t-trust-her-you-ll-see/
 Maniac Smashes Cell Phone Store with Little Girl Working at the Desk ,HMG87,1.8K Views,7 Comments,1:05,https://theworldwatch.com/videos/1619355/maniac-smashes-cell-phone-store-with-little-girl-working-at-the-desk/
 The Most Casual Hero must be a Super Hero..Watch Top Screen ,sally,3.8K Views,3 Comments,0:22,https://theworldwatch.com/videos/1619357/the-most-casual-hero-must-be-a-super-hero-watch-top-screen/
 Knife-Wielding Muslim Made into a Hood Ornament by Based Norwegian Cop. ,Admin,7.8K Views,21 Comments,0:27,https://theworldwatch.com/videos/1619344/knife-wielding-muslim-made-into-a-hood-ornament-by-based-norwegian-cop/
 Construction Platform in Russia Collapses with 2 Workers On it ,sally,2.1K Views,4 Comments,0:25,https://theworldwatch.com/videos/1619353/construction-platform-in-russia-collapses-with-2-workers-on-it/
 Ever Seen an Ump Get Ejected From a Game Before? ,Karelin,3.2K Views,6 Comments,0:44,https://theworldwatch.com/videos/1619343/ever-seen-an-ump-get-ejected-from-a-game-before/
 Remember this Warrior... She Stood Up to Fauci from the Start! She Should be Next ... ,Karelin,2.8K Views,8 Comments,0:32,https://theworldwatch.com/videos/1619313/remember-this-warrior-she-stood-up-to-fauci-from-the-start-she-should-be-next-hhs-secretary/
 Look after old people ,Frerty,5.2K Views,14 Comments,0:46,https://theworldwatch.com/videos/1619342/look-after-old-people/
 Police Shoot Rapist Armed with a Knife AS he's Assaulting Victim... ,The Seer,50K Views,43 Comments,0:20,https://theworldwatch.com/videos/1619326/police-shoot-rapist-armed-with-a-knife-as-he-s-assaulting-victim/
 Performer is Dragged to Death by Horse For a Long Time as Shocked Audience Records ,The Seer,4.0K Views,5 Comments,0:47,https://theworldwatch.com/videos/1619330/performer-is-terribly-dragged-to-death-by-horse-as-shocked-audience-records/
 Poor Woman is Set on Fire until Death inside Store by EX ,The Seer,5.2K Views,5 Comments,1:14,https://theworldwatch.com/videos/1619327/poor-woman-is-set-on-fire-until-death-inside-store-by-ex/
 Disabled Vietnam Vet Jumps into Water to End his Life ,Philligan,5.3K Views,10 Comments,2:07,https://theworldwatch.com/videos/1619320/disabled-vietnam-vet-jumps-into-water-to-end-his-life/
 Cyclist Runs into Concrete Wall...Head Explodes like a Watermelon? ,HMG87,43K Views,22 Comments,0:14,https://theworldwatch.com/videos/1619329/cyclist-runs-into-concrete-wall-head-explodes-like-a-watermelon/
 (Red Shirt) High Kick from this Female...Listen to her Face hit the Pavement ,sally,5.4K Views,5 Comments,0:19,https://theworldwatch.com/videos/1619323/worst-attempt-at-a-high-kick-ever-from-this-female-listen-to-her-face-hit-the-pavement/
" Woman Murder Target at Cockfight. This is just embarrassing to Watch...Please, h... ",The Seer,6.6K Views,10 Comments,0:34,https://theworldwatch.com/videos/1619331/woman-murder-target-at-cockfight-i-ve-never-been-this-is-just-embarrassing-to-watch/
 Bull in the USA! Lone Bull Escapes Rodeo and takes out Female Redneck and her Ice... ,Philligan,2.8K Views,15 Comments,0:34,https://theworldwatch.com/videos/1619322/bull-in-the-usa-lone-bull-escapes-rodeo-and-takes-out-female-redneck-and-her-ice-cream/
 Vegan Karen Says Parking on the Grass is the Same as Assaulting Children. Lol ,Karelin,4.0K Views,23 Comments,1:30,https://theworldwatch.com/videos/1619321/vegan-karen-says-parking-on-the-grass-is-the-same-as-assaulting-children-lol/
 Family Friendly Pride Fest in Texas is Nothing But. Children Walking around Witne... ,The Seer,5.1K Views,15 Comments,1:35,https://theworldwatch.com/videos/1619325/family-friendly-pride-fest-in-texas-is-nothing-but-chinldren-walking-around-witnessing-this-sh-t/
 FULL: Man wears Trump Hat in Spokane Gas Station and causes Mass Chaos including ... ,Philligan,4.9K Views,31 Comments,10:42,https://theworldwatch.com/videos/1619319/man-wears-trump-hat/
 Killer of 3 Year Old in Court Smirking as the Dad of the Deceased Speaks.. ,The Seer,4.0K Views,27 Comments,4:46,https://theworldwatch.com/videos/1619324/killer-of-3-year-old-in-court-smirking-as-the-dad-of-the-deceased-speaks/
 I Couldn’t have Said it any Better! .. Chick Goes off on Clown World 'Nerds' ,JohnRocker,6.2K Views,45 Comments,0:59,https://theworldwatch.com/videos/1619314/i-couldn-t-have-said-it-any-better-chick-goes-off-on-clown-world-nerds/
 Woman Ruins Party Set Up Jumping from Bridge in Peru ,The Seer,2.4K Views,4 Comments,0:24,https://theworldwatch.com/videos/1619333/woman-ruins-party-set-up-jumping-from-bridge-in-peru/
 She Asked for my Opinion but I Couldn't Speak ,The Seer,8.4K Views,8 Comments,1:38,https://theworldwatch.com/videos/1619341/she-asked-for-my-opinion-but-i-couldn-t-speak/
 Men: If We're Breathing...we're Lookin ,Philligan,6.5K Views,15 Comments,0:11,https://theworldwatch.com/videos/1619339/men-if-we-re-breathing-we-re-lookin/
 Big Booty White Girl said He was Rude. What would you do ? ,The Seer,5.2K Views,14 Comments,0:29,https://theworldwatch.com/videos/1619336/big-booty-white-girl-said-he-was-rude-what-would-you-do/
 Girl missing a Few Bricks gets Butt Naked with Police Everywhere ,Theseer,1.9K Views,4 Comments,0:32,https://theworldwatch.com/videos/1619338/girl-missing-a-few-bricks-gets-butt-naked-with-police-everywhere/
